Dataset,Modelo,F1-Score,Accuracy,Tiempo (s)
descripciones,Gradient Boosting,0.4510129418696436,0.4834360986547085,1.69
codigos,Gradient Boosting,0.4432289439076049,0.47094410634208844,1.64
descripciones,LightGBM,0.4405094383936604,0.46557895579756564,2.52
combinados,Gradient Boosting,0.4399789248448737,0.46647581678411265,1.54
combinados,LightGBM,0.4344543766460083,0.45931694426649583,2.74
descripciones,Random Forest,0.43374107475718215,0.47272581678411274,0.35
codigos,LightGBM,0.42971210765294054,0.4539638052530429,2.89
descripciones,CatBoost,0.4289453950171332,0.459304932735426,2.35
descripciones,XGBoost,0.4264278296401399,0.45217008327994873,0.6
codigos,XGBoost,0.42626751062590973,0.4512652146060218,0.95
combinados,CatBoost,0.4244187024023633,0.45307895579756563,2.19
combinados,XGBoost,0.4209269955966799,0.4459080717488789,0.76
codigos,CatBoost,0.41968772587916997,0.44416239590006407,2.55
combinados,Random Forest,0.40674475268442284,0.4477298206278027,0.22
codigos,Random Forest,0.4055381604085696,0.44772581678411283,2.95
codigos,Logistic Regression,0.31270819399602734,0.43518978219090326,3.64
combinados,Logistic Regression,0.31264424035919214,0.43518978219090326,0.08
descripciones,Logistic Regression,0.30912807022457517,0.441459801409353,0.06
descripciones,SVM (RBF),0.2853864668617959,0.44324951953875724,1.15
codigos,SVM (RBF),0.28179993254239244,0.44323750800768735,2.57
combinados,SVM (RBF),0.28179993254239244,0.44323750800768735,0.28
