Dataset,Modelo,F1-Score,Accuracy,Tiempo (s)
codigos,LightGBM,0.6602344152710607,0.7124567778233606,3.54
combinados,LightGBM,0.6585008410280893,0.7120172302643146,2.57
codigos,XGBoost,0.6573454471887207,0.7084783840278185,0.71
combinados,XGBoost,0.6571062539590219,0.7076002656820801,0.51
combinados,CatBoost,0.6522689161583496,0.7243763308523316,2.63
descripciones,XGBoost,0.6506298216061142,0.7080349293793587,0.49
codigos,CatBoost,0.6482574671636017,0.7212858231260623,3.43
combinados,Gradient Boosting,0.6441287101046005,0.7208394381605424,2.49
descripciones,LightGBM,0.6441169285011576,0.6978813807653987,2.56
codigos,Gradient Boosting,0.6428236364350132,0.7190734337455312,2.56
codigos,Random Forest,0.6366522770102792,0.7058362148117759,0.33
combinados,Random Forest,0.6347400162509174,0.7058352380394225,0.33
descripciones,CatBoost,0.6347219847502539,0.7102434116704761,2.78
descripciones,Gradient Boosting,0.6338500046730468,0.7155472855496298,2.4
descripciones,Random Forest,0.6275771051382781,0.6961212369845083,0.27
combinados,Logistic Regression,0.6123153434052986,0.7221727324229815,0.06
codigos,Logistic Regression,0.6123153434052986,0.7221727324229815,0.07
codigos,SVM (RBF),0.6115336468893913,0.7265906737775694,0.92
descripciones,SVM (RBF),0.6115336468893913,0.7265906737775694,1.0
combinados,SVM (RBF),0.6115336468893913,0.7265906737775694,0.96
descripciones,Logistic Regression,0.6114107686454943,0.7221727324229816,0.05
