Código Postal,frecuencia
24000.0,74
24001.0,20
24002.0,33
24003.0,21
24004.0,39
24005.0,119
24006.0,85
24007.0,58
24008.0,99
24009.0,56
24010.0,81
24011.0,2
24012.0,1
24080.0,1
24100.0,1
24110.0,1
24111.0,3
24121.0,7
24122.0,3
24123.0,7
24125.0,3
24142.0,1
24143.0,3
24151.0,2
24152.0,2
24153.0,1
24154.0,3
24161.0,1
24163.0,1
24170.0,2
24172.0,2
24190.0,14
24191.0,30
24192.0,2
24193.0,37
24195.0,10
24196.0,6
24197.0,4
24198.0,37
24199.0,3
24200.0,6
24210.0,29
24217.0,1
24219.0,6
24220.0,5
24222.0,5
24223.0,5
24224.0,2
24225.0,1
24226.0,5
24227.0,4
24228.0,7
24231.0,6
24234.0,20
24237.0,3
24240.0,7
24248.0,2
24250.0,1
24251.0,46
24252.0,8
24270.0,4
24271.0,7
24272.0,1
24273.0,2
24280.0,21
24281.0,2
24282.0,2
24285.0,1
24286.0,2
24287.0,1
24288.0,2
24290.0,1
24291.0,3
24293.0,2
24294.0,1
24300.0,2
24311.0,2
24316.0,1
24320.0,6
24324.0,2
24343.0,1
24344.0,2
24347.0,1
24350.0,6
24356.0,3
24358.0,3
24359.0,4
24360.0,2
24386.0,1
24390.0,4
24391.0,4
24392.0,18
24393.0,1
24394.0,2
24397.0,1
24398.0,6
24400.0,33
24401.0,1
24402.0,1
24448.0,1
24450.0,1
24492.0,1
24500.0,2
24523.0,1
24540.0,2
24560.0,1
24600.0,8
24620.0,37
24640.0,3
24648.0,1
24649.0,1
24670.0,1
24680.0,2
24684.0,1
24700.0,40
24710.0,5
24711.0,3
24718.0,1
24721.0,1
24722.0,3
24730.0,1
24732.0,4
24735.0,7
24738.0,10
24743.0,2
24744.0,5
24746.0,21
24750.0,69
24760.0,1
24762.0,1
24763.0,2
24764.0,3
24765.0,5
24767.0,2
24768.0,10
24791.0,2
24793.0,1
24794.0,1
24795.0,6
24796.0,8
24810.0,1
24830.0,2
24836.0,1
24837.0,1
24838.0,1
24848.0,1
24850.0,11
24855.0,1
24857.0,2
24858.0,4
24860.0,1
24870.0,1
24882.0,1
24893.0,2
24915.0,1
24920.0,5
24940.0,4
