Código Postal,frecuencia
24000.0,14
24001.0,6
24002.0,11
24003.0,4
24004.0,13
24005.0,77
24006.0,39
24007.0,41
24008.0,81
24009.0,27
24010.0,25
24011.0,1
24100.0,1
24121.0,2
24125.0,1
24139.0,1
24152.0,1
24161.0,1
24162.0,3
24163.0,1
24190.0,4
24191.0,8
24192.0,1
24193.0,12
24195.0,2
24196.0,5
24197.0,4
24198.0,51
24199.0,1
24200.0,7
24209.0,1
24210.0,12
24220.0,1
24223.0,3
24224.0,2
24225.0,3
24226.0,14
24227.0,3
24228.0,2
24234.0,11
24236.0,6
24237.0,1
24240.0,3
24248.0,1
24251.0,24
24270.0,3
24273.0,1
24280.0,2
24290.0,1
24300.0,2
24320.0,4
24324.0,2
24329.0,1
24344.0,2
24346.0,1
24347.0,1
24357.0,1
24358.0,5
24359.0,5
24390.0,9
24391.0,5
24392.0,2
24400.0,3
24401.0,3
24403.0,2
24404.0,2
24410.0,1
24412.0,1
24420.0,4
24430.0,1
24435.0,1
24492.0,2
24500.0,2
24514.0,1
24600.0,9
24620.0,17
24640.0,5
24648.0,1
24684.0,1
24700.0,15
24717.0,1
24722.0,1
24738.0,1
24743.0,2
24746.0,2
24750.0,27
24760.0,1
24762.0,1
24763.0,1
24764.0,3
24765.0,4
24767.0,4
24768.0,1
24793.0,2
24795.0,1
24796.0,1
24810.0,1
24820.0,1
24836.0,3
24844.0,1
24850.0,4
24857.0,1
24858.0,3
24891.0,1
24915.0,2
