iter	Logloss
0	0.6738268124
1	0.6594171975
2	0.646946894
3	0.6333118669
4	0.6250475008
5	0.6185397887
6	0.6132933702
7	0.608277516
8	0.6029094259
9	0.5993385394
10	0.5853356863
11	0.5826619231
12	0.5803353405
13	0.5686473216
14	0.5671658739
15	0.5664022942
16	0.5623366388
17	0.5594367519
18	0.5576043501
19	0.5553995029
20	0.5530707967
21	0.5520070605
22	0.5509446439
23	0.5428966334
24	0.5367146343
25	0.5350061493
26	0.5316425155
27	0.5297853401
28	0.5274526642
29	0.5262879823
30	0.5253119685
31	0.5215554842
32	0.5199008808
33	0.5161648579
34	0.5138045959
35	0.5113638524
36	0.5096787902
37	0.5071515334
38	0.5061356893
39	0.5037250962
40	0.5031873904
41	0.5017947629
42	0.5007971927
43	0.4986192142
44	0.4967721154
45	0.4958937959
46	0.4941762921
47	0.49325939
48	0.4906460381
49	0.4901382377
50	0.4877152388
51	0.4850690756
52	0.4848468973
53	0.4821797874
54	0.4803492129
55	0.4792657458
56	0.4782532266
57	0.4775276057
58	0.4754137754
59	0.4736187426
60	0.4733020472
61	0.4713981121
62	0.4677759567
63	0.4658971331
64	0.4610298056
65	0.4596045371
66	0.4577378437
67	0.4554292136
68	0.454239301
69	0.4529025307
70	0.4525559517
71	0.4514462033
72	0.4497126734
73	0.4476672893
74	0.446801089
75	0.445403462
76	0.443612944
77	0.4419591556
78	0.4384966333
79	0.4367834607
80	0.4344316689
81	0.4324731918
82	0.4309172225
83	0.4293801922
84	0.4279681797
85	0.4258044717
86	0.4239042851
87	0.4221073213
88	0.4193612346
89	0.4180834145
90	0.4156375987
91	0.4143370076
92	0.4128459102
93	0.4119826988
94	0.4111088682
95	0.4098123586
96	0.4078010138
97	0.4052545201
98	0.4021256672
99	0.4007786225
