iter	Passed	Remaining
0	48	4778
1	49	2405
2	49	1612
3	50	1220
4	51	984
5	52	823
6	53	708
7	54	622
8	54	555
9	55	501
10	56	456
11	57	419
12	58	388
13	58	361
14	59	338
15	60	316
16	61	298
17	62	283
18	63	268
19	63	255
20	64	243
21	65	232
22	66	222
23	67	213
24	68	204
25	68	196
26	69	188
27	70	181
28	71	174
29	72	168
30	72	162
31	73	156
32	74	151
33	75	146
34	76	141
35	77	136
36	77	132
37	78	128
38	79	124
39	80	120
40	81	116
41	81	113
42	82	109
43	83	106
44	84	102
45	85	99
46	85	96
47	86	93
48	87	90
49	88	88
50	88	85
51	89	82
52	90	80
53	91	77
54	91	75
55	92	72
56	93	70
57	94	68
58	95	66
59	96	64
60	96	61
61	97	59
62	98	57
63	99	55
64	99	53
65	100	51
66	101	50
67	102	48
68	103	46
69	104	44
70	104	42
71	105	41
72	106	39
73	107	37
74	108	36
75	109	34
76	109	32
77	110	31
78	111	29
79	112	28
80	113	26
81	114	25
82	115	23
83	116	22
84	116	20
85	117	19
86	118	17
87	119	16
88	120	14
89	120	13
90	121	12
91	122	10
92	123	9
93	124	7
94	125	6
95	125	5
96	126	3
97	127	2
98	128	1
99	129	0
