source,target,weight
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,1
"Trastorno esquizoafectivo, tipo bipolar",Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,1
Bacteriemia,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,3
Necesidad de supervisión continua,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,3
Trastornos esquizoafectivos,Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,3
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto,"Neoplasia maligna de páncreas, no especificada",1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,"Neoplasia maligna de páncreas, no especificada",1
"Trastorno esquizoafectivo, tipo bipolar","Neoplasia maligna de páncreas, no especificada",1
Bacteriemia,"Neoplasia maligna de páncreas, no especificada",1
Necesidad de supervisión continua,"Neoplasia maligna de páncreas, no especificada",1
Trastornos esquizoafectivos,"Neoplasia maligna de páncreas, no especificada",1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,"Trastorno esquizoafectivo, tipo bipolar",2
Bacteriemia,"Trastorno esquizoafectivo, tipo bipolar",1
Necesidad de supervisión continua,"Trastorno esquizoafectivo, tipo bipolar",1
Trastornos esquizoafectivos,"Trastorno esquizoafectivo, tipo bipolar",71
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Bacteriemia,1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Necesidad de supervisión continua,1
Bacteriemia,Necesidad de supervisión continua,1
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas,Trastornos esquizoafectivos,2
Bacteriemia,Trastornos esquizoafectivos,1
Necesidad de supervisión continua,Trastornos esquizoafectivos,2
Esquizofrenia paranoide,"Trastorno esquizoafectivo, no especificado",19
Otros tipos de esquizofrenia,"Trastorno esquizoafectivo, no especificado",134
Esquizofrenia paranoide,Discapacidad intelectual leve,21
"Trastorno esquizoafectivo, no especificado",Discapacidad intelectual leve,3
Otros tipos de esquizofrenia,Discapacidad intelectual leve,24
Esquizofrenia paranoide,Discapacidad intelectual moderada,8
"Trastorno esquizoafectivo, no especificado",Discapacidad intelectual moderada,2
Discapacidad intelectual leve,Discapacidad intelectual moderada,2
Otros tipos de esquizofrenia,Discapacidad intelectual moderada,10
Esquizofrenia paranoide,Otros tipos de esquizofrenia,423
Estado de cirugía bariátrica,Trastornos delirantes,2
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Hiperlipidemia mixta,4
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Hiperlipidemia mixta,1
Ausencia adquirida de otras partes especificadas del tracto digestivo,Hiperlipidemia mixta,2
Incumplimiento del paciente con otro tratamiento y régimen médico,Hiperlipidemia mixta,11
Hiperlipidemia mixta,"Hiperlipidemia, no especificada",2
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad","Hiperlipidemia, no especificada",11
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas","Hiperlipidemia, no especificada",5
Ausencia adquirida de otras partes especificadas del tracto digestivo,"Hiperlipidemia, no especificada",8
Incumplimiento del paciente con otro tratamiento y régimen médico,"Hiperlipidemia, no especificada",11
Hiperlipidemia mixta,Trastornos delirantes,6
"Hiperlipidemia, no especificada",Trastornos delirantes,32
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Trastornos delirantes,110
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Trastornos delirantes,14
Ausencia adquirida de otras partes especificadas del tracto digestivo,Trastornos delirantes,22
Incumplimiento del paciente con otro tratamiento y régimen médico,Trastornos delirantes,120
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad","Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",7
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Ausencia adquirida de otras partes especificadas del tracto digestivo,4
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Ausencia adquirida de otras partes especificadas del tracto digestivo,1
"Contacto para reconocimiento médico psiquiátrico general, solicitado por la autoridad",Incumplimiento del paciente con otro tratamiento y régimen médico,136
"Estado de alergia a otros fármacos, medicamentos y sustancias biológicas",Incumplimiento del paciente con otro tratamiento y régimen médico,7
