Código Postal,Diagnóstico,Frecuencia
24000.0,F20,88
24000.0,F22,2
24000.0,F23,1
24000.0,F25,2
24000.0,F29,5
24000.0,F60.1,2
24001.0,F20,26
24001.0,F22,4
24001.0,F23,2
24001.0,F29,2
24002.0,F20,44
24002.0,F22,15
24002.0,F25,7
24002.0,F29,8
24003.0,F20,25
24003.0,F22,8
24003.0,F23,1
24003.0,F25,3
24003.0,F29,1
24004.0,F20,52
24004.0,F22,9
24004.0,F23,1
24004.0,F25,5
24004.0,F29,2
24004.0,F60.1,4
24005.0,F20,196
24005.0,F22,36
24005.0,F23,6
24005.0,F25,9
24005.0,F29,17
24005.0,F60.1,5
24006.0,F20,124
24006.0,F22,22
24006.0,F23,12
24006.0,F25,6
24006.0,F29,12
24006.0,F60.1,4
24007.0,F20,99
24007.0,F22,25
24007.0,F23,7
24007.0,F25,6
24007.0,F29,8
24007.0,F60.1,1
24008.0,F20,180
24008.0,F22,21
24008.0,F23,10
24008.0,F25,15
24008.0,F29,16
24008.0,F60.1,2
24009.0,F20,83
24009.0,F21,1
24009.0,F22,15
24009.0,F23,2
24009.0,F25,11
24009.0,F29,10
24009.0,F60.1,5
24010.0,F20,106
24010.0,F21,4
24010.0,F22,17
24010.0,F23,6
24010.0,F25,17
24010.0,F29,21
24010.0,F60.1,1
24011.0,F20,3
24011.0,F60.1,1
24012.0,F20,1
24080.0,F20,1
24080.0,F22,1
24100.0,F20,2
24110.0,F20,1
24111.0,F20,3
24120.0,F22,2
24121.0,F20,9
24121.0,F22,1
24121.0,F23,2
24121.0,F29,4
24122.0,F20,3
24122.0,F22,1
24123.0,F20,7
24123.0,F25,2
24125.0,F20,4
24127.0,F22,1
24130.0,F29,1
24139.0,F20,1
24141.0,F23,1
24142.0,F20,1
24143.0,F20,3
24144.0,F22,1
24151.0,F20,2
24152.0,F20,3
24152.0,F22,4
24153.0,F20,1
24153.0,F22,1
24154.0,F20,3
24161.0,F20,2
24162.0,F20,3
24162.0,F60.1,1
24163.0,F20,2
24170.0,F20,2
24172.0,F20,2
24172.0,F23,1
24174.0,F22,3
24190.0,F20,18
24190.0,F23,2
24190.0,F25,2
24190.0,F29,1
24191.0,F20,38
24191.0,F22,7
24191.0,F23,4
24191.0,F25,8
24191.0,F29,1
24191.0,F60.1,1
24192.0,F20,3
24192.0,F22,4
24192.0,F29,1
24193.0,F20,49
24193.0,F22,2
24193.0,F23,2
24193.0,F25,11
24193.0,F60.1,2
24195.0,F20,12
24195.0,F22,1
24195.0,F23,2
24195.0,F25,3
24195.0,F60.1,1
24196.0,F20,11
24196.0,F22,1
24196.0,F23,1
24196.0,F29,1
24197.0,F20,8
24197.0,F21,1
24197.0,F22,1
24197.0,F29,2
24197.0,F60.1,1
24198.0,F20,88
24198.0,F22,7
24198.0,F29,4
24199.0,F20,4
24200.0,F20,13
24200.0,F22,3
24200.0,F23,1
24200.0,F25,3
24200.0,F29,2
24200.0,F60.1,1
24209.0,F20,1
24209.0,F22,1
24210.0,F20,41
24210.0,F22,3
24210.0,F23,1
24210.0,F25,6
24210.0,F29,4
24217.0,F20,1
24219.0,F20,6
24220.0,F20,6
24220.0,F22,7
24220.0,F23,2
24222.0,F20,5
24223.0,F20,8
24224.0,F20,4
24224.0,F23,1
24224.0,F60.1,1
24225.0,F20,4
24226.0,F20,19
24226.0,F22,2
24226.0,F25,1
24226.0,F29,1
24227.0,F20,7
24227.0,F21,1
24227.0,F25,1
24227.0,F29,2
24228.0,F20,9
24228.0,F22,1
24228.0,F25,3
24231.0,F20,6
24234.0,F20,31
24234.0,F22,1
24234.0,F29,4
24234.0,F60.1,1
24236.0,F20,6
24236.0,F22,1
24237.0,F20,4
24237.0,F25,4
24239.0,F23,1
24240.0,F20,10
24240.0,F22,3
24240.0,F29,2
24248.0,F20,3
24248.0,F29,1
24249.0,F21,1
24249.0,F22,2
24250.0,F20,1
24251.0,F20,70
24251.0,F25,2
24252.0,F20,8
24252.0,F23,2
24270.0,F20,7
24270.0,F22,3
24271.0,F20,7
24271.0,F60.1,2
24272.0,F20,1
24272.0,F22,7
24273.0,F20,3
24275.0,F22,1
24275.0,F29,1
24280.0,F20,23
24280.0,F25,3
24280.0,F29,3
24281.0,F20,2
24282.0,F20,2
24282.0,F22,3
24282.0,F29,2
24285.0,F20,1
24285.0,F23,1
24286.0,F20,2
24286.0,F22,1
24287.0,F20,1
24287.0,F22,1
24288.0,F20,2
24290.0,F20,2
24290.0,F22,1
24290.0,F60.1,1
24291.0,F20,3
24293.0,F20,2
24294.0,F20,1
24300.0,F20,4
24300.0,F22,1
24311.0,F20,2
24316.0,F20,1
24320.0,F20,10
24320.0,F25,1
24320.0,F29,3
