CP,Media_Comorbilidad,Num_Pacientes
24734.0,16.0,5
28931.0,14.0,1
47670.0,13.333333333333334,6
24275.0,12.0,2
24435.0,12.0,1
48910.0,11.0,1
49020.0,10.0,1
24139.0,10.0,1
24830.0,9.666666666666666,3
24791.0,9.5,2
24855.0,9.0,1
24430.0,9.0,1
24395.0,9.0,1
24152.0,8.428571428571429,7
24280.0,8.214285714285714,28
48002.0,8.0,1
24715.0,8.0,1
9400.0,8.0,1
24170.0,8.0,2
24144.0,8.0,1
24222.0,7.8,5
24154.0,7.666666666666667,3
24161.0,7.5,2
24820.0,7.0,1
3530.0,7.0,1
24012.0,7.0,1
48012.0,7.0,1
24730.0,7.0,2
24723.0,7.0,1
24600.0,6.904761904761905,21
24192.0,6.875,8
24356.0,6.833333333333333,6
24227.0,6.7272727272727275,11
49600.0,6.666666666666667,3
24393.0,6.625,8
24836.0,6.5,4
24684.0,6.5,2
24722.0,6.5,4
24920.0,6.4,5
24870.0,6.333333333333333,3
24234.0,6.305555555555555,36
24226.0,6.304347826086956,23
24360.0,6.25,4
24162.0,6.25,4
24324.0,6.2,5
24620.0,6.116666666666666,60
24220.0,6.066666666666666,15
24329.0,6.0,1
24281.0,6.0,2
49300.0,6.0,1
49332.0,6.0,1
20600.0,6.0,1
24885.0,6.0,1
24248.0,6.0,4
24142.0,6.0,1
24125.0,6.0,4
24328.0,6.0,1
33212.0,6.0,2
24357.0,6.0,2
24810.0,5.857142857142857,7
24198.0,5.836734693877551,98
24750.0,5.7190082644628095,121
24228.0,5.615384615384615,13
24358.0,5.5625,16
24120.0,5.5,2
24080.0,5.5,2
24122.0,5.5,4
24721.0,5.5,2
24100.0,5.5,2
24287.0,5.5,2
24398.0,5.333333333333333,6
24111.0,5.333333333333333,3
24767.0,5.181818181818182,11
24251.0,5.166666666666667,72
24240.0,5.133333333333334,15
24735.0,5.090909090909091,11
9003.0,5.0,1
24291.0,5.0,3
24153.0,5.0,2
24209.0,5.0,2
24273.0,5.0,3
24743.0,5.0,4
99000.0,5.0,1
24882.0,5.0,1
24540.0,5.0,2
24680.0,5.0,3
24670.0,5.0,1
24392.0,4.962962962962963,27
24300.0,4.8,5
24761.0,4.75,4
24237.0,4.75,8
24711.0,4.666666666666667,3
24197.0,4.636363636363637,11
24796.0,4.636363636363637,11
24320.0,4.5,14
24223.0,4.5,8
24930.0,4.5,2
24007.0,4.465753424657534,146
24210.0,4.462962962962963,54
24004.0,4.231884057971015,69
24700.0,4.225,80
24768.0,4.090909090909091,11
24002.0,4.041666666666667,72
24860.0,4.0,1
24838.0,4.0,1
24141.0,4.0,1
47013.0,4.0,1
24448.0,4.0,1
24648.0,4.0,2
24844.0,4.0,1
24003.0,4.0,38
47009.0,4.0,1
45005.0,4.0,1
34004.0,4.0,2
47000.0,4.0,2
24163.0,4.0,2
49310.0,4.0,1
24740.0,4.0,1
24172.0,4.0,3
24710.0,3.888888888888889,9
