Código Postal,Diagnostico_Predominante,Porcentaje_Dominante
24000.0,F20,88.0
24001.0,F20,76.47058823529412
24002.0,F20,59.45945945945946
24003.0,F20,65.78947368421053
24004.0,F20,71.23287671232876
24005.0,F20,72.86245353159852
24006.0,F20,68.88888888888889
24007.0,F20,67.8082191780822
24008.0,F20,73.77049180327869
24009.0,F20,65.35433070866141
24010.0,F20,61.627906976744185
24011.0,F20,75.0
24012.0,F20,100.0
24080.0,F20,50.0
24100.0,F20,100.0
24110.0,F20,100.0
24111.0,F20,100.0
24120.0,F22,100.0
24121.0,F20,56.25
24122.0,F20,75.0
24123.0,F20,77.77777777777779
24125.0,F20,100.0
24127.0,F22,100.0
24130.0,F29,100.0
24139.0,F20,100.0
24141.0,F23,100.0
24142.0,F20,100.0
24143.0,F20,100.0
24144.0,F22,100.0
24151.0,F20,100.0
24152.0,F22,57.14285714285714
24153.0,F20,50.0
24154.0,F20,100.0
24161.0,F20,100.0
24162.0,F20,75.0
24163.0,F20,100.0
24170.0,F20,100.0
24172.0,F20,66.66666666666666
24174.0,F22,100.0
24190.0,F20,78.26086956521739
24191.0,F20,64.40677966101694
24192.0,F22,50.0
24193.0,F20,74.24242424242425
24195.0,F20,63.1578947368421
24196.0,F20,78.57142857142857
24197.0,F20,61.53846153846154
24198.0,F20,88.88888888888889
24199.0,F20,100.0
24200.0,F20,56.52173913043478
24209.0,F20,50.0
24210.0,F20,74.54545454545455
24217.0,F20,100.0
24219.0,F20,100.0
24220.0,F22,46.666666666666664
24222.0,F20,100.0
24223.0,F20,100.0
24224.0,F20,66.66666666666666
24225.0,F20,100.0
24226.0,F20,82.6086956521739
24227.0,F20,63.63636363636363
24228.0,F20,69.23076923076923
24231.0,F20,100.0
24234.0,F20,83.78378378378379
24236.0,F20,85.71428571428571
24237.0,F20,50.0
24239.0,F23,100.0
24240.0,F20,66.66666666666666
24248.0,F20,75.0
24249.0,F22,66.66666666666666
24250.0,F20,100.0
24251.0,F20,97.22222222222221
24252.0,F20,80.0
24270.0,F20,70.0
24271.0,F20,77.77777777777779
24272.0,F22,87.5
24273.0,F20,100.0
24275.0,F22,50.0
24280.0,F20,79.3103448275862
24281.0,F20,100.0
24282.0,F22,42.857142857142854
24285.0,F20,50.0
24286.0,F20,66.66666666666666
24287.0,F20,50.0
24288.0,F20,100.0
24290.0,F20,50.0
24291.0,F20,100.0
24293.0,F20,100.0
24294.0,F20,100.0
24300.0,F20,80.0
24311.0,F20,100.0
24316.0,F20,100.0
24320.0,F20,71.42857142857143
24324.0,F20,80.0
24325.0,F25,60.0
24328.0,F29,100.0
24329.0,F20,100.0
24330.0,F22,50.0
24339.0,F22,100.0
24343.0,F20,100.0
24344.0,F20,80.0
24346.0,F20,100.0
24347.0,F20,100.0
24350.0,F20,85.71428571428571
24356.0,F20,50.0
24357.0,F20,50.0
24358.0,F20,50.0
24359.0,F20,100.0
24360.0,F20,50.0
24386.0,F20,100.0
24390.0,F20,86.66666666666667
24391.0,F20,64.28571428571429
24392.0,F20,71.42857142857143
24393.0,F29,50.0
24394.0,F20,100.0
24395.0,F22,100.0
24397.0,F20,100.0
24398.0,F20,100.0
24400.0,F20,83.72093023255815
24401.0,F20,57.14285714285714
24402.0,F20,50.0
24403.0,F20,100.0
24404.0,F20,66.66666666666666
24410.0,F20,50.0
24412.0,F20,100.0
24420.0,F20,80.0
24429.0,F25,100.0
24430.0,F20,100.0
24435.0,F20,100.0
24442.0,F29,100.0
24448.0,F20,100.0
24450.0,F20,100.0
24492.0,F20,100.0
24500.0,F20,100.0
24514.0,F20,100.0
24523.0,F20,100.0
24540.0,F20,100.0
24560.0,F20,100.0
24600.0,F20,80.95238095238095
24620.0,F20,90.0
24640.0,F20,61.53846153846154
24648.0,F20,100.0
24649.0,F20,50.0
24650.0,F23,100.0
24670.0,F20,100.0
24680.0,F20,66.66666666666666
24684.0,F20,100.0
24700.0,F20,68.75
24710.0,F20,55.55555555555556
24711.0,F20,100.0
24715.0,F25,100.0
24717.0,F22,66.66666666666666
24718.0,F20,100.0
24721.0,F20,50.0
24722.0,F20,100.0
24723.0,F22,100.0
24730.0,F20,50.0
24732.0,F20,80.0
24734.0,F22,100.0
24735.0,F20,63.63636363636363
24738.0,F20,91.66666666666666
24740.0,F22,100.0
24743.0,F20,100.0
24744.0,F20,83.33333333333334
24746.0,F20,85.18518518518519
24750.0,F20,77.41935483870968
24760.0,F20,100.0
24761.0,F22,100.0
24762.0,F20,66.66666666666666
24763.0,F22,50.0
24764.0,F20,85.71428571428571
24765.0,F20,75.0
24767.0,F20,54.54545454545454
24768.0,F20,100.0
24791.0,F20,100.0
24793.0,F20,100.0
24794.0,F20,50.0
24795.0,F20,53.84615384615385
24796.0,F20,81.81818181818183
24797.0,F22,100.0
24800.0,F29,50.0
24810.0,F22,57.14285714285714
24820.0,F20,100.0
24830.0,F20,66.66666666666666
24836.0,F20,100.0
24837.0,F20,100.0
24838.0,F20,100.0
24844.0,F20,100.0
24848.0,F20,100.0
24850.0,F20,100.0
24855.0,F20,100.0
24857.0,F20,100.0
24858.0,F20,100.0
24860.0,F20,100.0
24870.0,F20,33.33333333333333
24880.0,F22,100.0
24882.0,F20,100.0
24885.0,F22,100.0
24891.0,F20,100.0
24892.0,F25,100.0
24893.0,F20,100.0
24915.0,F20,100.0
24920.0,F20,100.0
24930.0,F23,50.0
24940.0,F20,80.0
