nombre_diagnostico|nombre_diagnostico_psiquiatrico
Bacteriemia|Trastornos esquizoafectivos
Escherichia coli [E. coli] no especificado como causa de enfermedades clasificadas bajo otro concepto|Trastornos esquizoafectivos
Neoplasia maligna de páncreas, no especificada|Trastornos esquizoafectivos
Neoplasia maligna secundaria de hígado y vías biliares intrahepáticas|Trastornos esquizoafectivos
Necesidad de supervisión continua|Trastornos esquizoafectivos
Trastorno esquizoafectivo, tipo bipolar|Trastornos esquizoafectivos
Discapacidad intelectual leve|Otros tipos de esquizofrenia
Trastorno esquizoafectivo, no especificado|Otros tipos de esquizofrenia
Estado de cirugía bariátrica|Trastornos delirantes
Hiperlipidemia, no especificada|Trastornos delirantes
Ausencia adquirida de otras partes especificadas del tracto digestivo|Trastornos delirantes
Estado de alergia a otros fármacos, medicamentos y sustancias biológicas|Trastornos delirantes
Gripe debida a otros tipos de virus de la gripe identificados con neumonía de tipo no especificada|Esquizofrenia
Insuficiencia respiratoria no especificada, con hipercapnia|Esquizofrenia
Anemia ferropénica, no especificada|Esquizofrenia
Obesidad mórbida (severa) con hipoventilación alveolar|Esquizofrenia
Índice de masa corporal [IMC] 39.0-39.9, adulto|Esquizofrenia
Talasemia, no especificada|Esquizofrenia
Hipertensión esencial (primaria)|Esquizofrenia
Hiperlipidemia, no especificada|Esquizofrenia
Esquizofrenia, no especificada|Esquizofrenia
Presencia de válvula cardiaca protésica|Esquizofrenia
Uso prolongado (actual) de anticoagulantes|Esquizofrenia
Otros trastornos respiratorios especificados|Esquizofrenia
Insuficiencia cardiaca, no especificada|Esquizofrenia
Otras enfermedades especificadas de la nariz y de los senos nasales|Esquizofrenia
Dermatitis, no especificada|Esquizofrenia
Prurito, no especificado|Esquizofrenia
Efecto adverso de agentes para diagnóstico, contacto inicial|Esquizofrenia
Enfermedad cardíaca hipertensiva con insuficiencia cardiaca|Esquizofrenia
Otro tipo de estado de alergia, distinta a fármacos, medicamentos y sustancias biológicas|Esquizofrenia
Acidosis|Esquizofrenia
Insuficiencia respiratoria crónica con hipercapnia|Esquizofrenia
Asma no especificada, sin complicaciones|Esquizofrenia
Urticaria, no especificada|Esquizofrenia
Insuficiencia respiratoria aguda con hipoxia|Esquizofrenia
Insuficiencia respiratoria aguda con hipercapnia|Esquizofrenia
Insuficiencia respiratoria crónica no especificada si con hipoxia o con hipercapnia|Esquizofrenia
Otras enfermedades de los bronquios, no clasificables bajo otro concepto|Esquizofrenia
Insuficiencia respiratoria aguda y crónica con hipercapnia|Esquizofrenia
Otra hipertensión pulmonar secundaria|Esquizofrenia
Trastornos reumáticos tanto de la válvula mitral como de la tricúspide|Esquizofrenia
Uso prolongado (actual) de esteroides inhalados|Esquizofrenia
Insuficiencia cardiaca diastólica (congestiva), no especificada|Esquizofrenia
Contusión de otra parte de la cabeza, contacto inicial|Esquizofrenia
Exposición a otros factores especificados, contacto inicial|Esquizofrenia
Enfermedad isquémica crónica cardiaca, no especificada|Esquizofrenia
Insuficiencia tricuspídea reumática|Esquizofrenia
Rinitis alérgica debida a polen|Esquizofrenia
Dependencia de oxígeno suplementario|Esquizofrenia
