Provincia,Código Postal,frecuencia
LEÓN,24797,2
LEÓN,24272,8
LEÓN,24005,266
LEÓN,24560,1
LEÓN,24219,6
LEÓN,24193,65
LEÓN,24401,7
LEÓN,24199,4
LEÓN,24760,2
LEÓN,24217,1
LEÓN,24270,10
LEÓN,24130,1
LEÓN,24290,4
LEÓN,24700,80
LEÓN,24311,2
LEÓN,24001,34
LEÓN,24795,12
LEÓN,24220,15
LEÓN,24860,1
LEÓN,24882,1
LEÓN,24210,54
LEÓN,24010,163
LEÓN,24009,120
LEÓN,24151,2
LEÓN,24514,1
LEÓN,24002,72
LEÓN,24744,6
LEÓN,24718,1
LEÓN,24347,2
LEÓN,24670,1
LEÓN,24328,1
LEÓN,24288,2
LEÓN,24121,16
LEÓN,24223,8
LEÓN,24120,2
LEÓN,24224,5
LEÓN,24122,4
LEÓN,24008,242
LEÓN,24680,3
LEÓN,24880,3
LEÓN,24893,2
LEÓN,24324,5
LEÓN,24162,4
LEÓN,24715,1
LEÓN,24282,7
LEÓN,24007,146
LEÓN,24710,9
LEÓN,24402,2
LEÓN,24329,1
LEÓN,24412,1
LEÓN,24761,4
LEÓN,24344,5
LEÓN,24650,1
LEÓN,24281,2
LEÓN,24410,2
LEÓN,24732,5
LEÓN,24750,121
LEÓN,24325,5
LEÓN,24540,2
LEÓN,24275,2
LEÓN,24161,2
LEÓN,24740,1
LEÓN,24837,1
LEÓN,24394,2
LEÓN,24012,1
LEÓN,24397,1
LEÓN,24734,5
LEÓN,24111,3
LEÓN,24429,1
LEÓN,24915,3
LEÓN,24857,3
LEÓN,24291,3
LEÓN,24143,3
LEÓN,24286,3
LEÓN,24448,1
LEÓN,24249,2
LEÓN,24392,27
LEÓN,24830,3
LEÓN,24198,98
LEÓN,24717,3
LEÓN,24316,1
LEÓN,24346,1
LEÓN,24793,3
LEÓN,24640,13
LEÓN,24885,1
LEÓN,24225,4
LEÓN,24280,28
LEÓN,24836,4
LEÓN,24125,4
LEÓN,24252,10
LEÓN,24360,4
LEÓN,24237,8
LEÓN,24287,2
LEÓN,24228,13
LEÓN,24420,5
LEÓN,24000,98
LEÓN,24358,16
LEÓN,24003,38
LEÓN,24442,1
LEÓN,24144,1
LEÓN,24339,1
LEÓN,24892,1
LEÓN,24110,1
LEÓN,24251,72
LEÓN,24620,60
LEÓN,24649,2
LEÓN,24398,6
LEÓN,24940,5
LEÓN,24234,36
LEÓN,24195,19
LEÓN,24386,1
LEÓN,24190,23
LEÓN,24273,3
LEÓN,24004,69
LEÓN,24762,3
LEÓN,24891,1
LEÓN,24359,9
LEÓN,24838,1
LEÓN,24600,21
LEÓN,24855,1
LEÓN,24248,4
LEÓN,24435,1
LEÓN,24743,4
LEÓN,24858,7
LEÓN,24767,11
LEÓN,24393,8
LEÓN,24763,8
LEÓN,24500,4
LEÓN,24844,1
LEÓN,24285,2
LEÓN,24723,1
LEÓN,24357,2
LEÓN,24450,1
LEÓN,24271,9
LEÓN,24730,2
LEÓN,24404,3
LEÓN,24920,5
LEÓN,24523,1
LEÓN,24648,2
LEÓN,24870,3
LEÓN,24152,7
LEÓN,24231,6
LEÓN,24250,1
LEÓN,24350,7
LEÓN,24163,2
LEÓN,24011,3
LEÓN,24721,2
LEÓN,24240,15
LEÓN,24796,11
LEÓN,24139,1
LEÓN,24153,2
LEÓN,24239,1
LEÓN,24391,13
LEÓN,24227,11
LEÓN,24791,2
LEÓN,24222,5
LEÓN,24294,1
LEÓN,24209,2
LEÓN,24850,15
LEÓN,24930,2
LEÓN,24236,7
LEÓN,24300,5
LEÓN,24800,4
LEÓN,24400,43
LEÓN,24330,2
LEÓN,24192,8
LEÓN,24100,2
LEÓN,24080,2
LEÓN,24430,1
LEÓN,24765,12
LEÓN,24848,1
LEÓN,24174,3
LEÓN,24172,3
LEÓN,24154,3
LEÓN,24356,6
LEÓN,24006,175
LEÓN,24127,1
LEÓN,24320,14
LEÓN,24820,1
LEÓN,24794,2
LEÓN,24196,14
LEÓN,24403,2
LEÓN,24197,11
LEÓN,24722,4
LEÓN,24123,9
LEÓN,24810,7
LEÓN,24738,12
LEÓN,24746,27
LEÓN,24343,1
LEÓN,24200,21
LEÓN,24142,1
LEÓN,24141,1
LEÓN,24226,23
LEÓN,24293,2
LEÓN,24395,1
LEÓN,24711,3
LEÓN,24492,3
LEÓN,24768,11
LEÓN,24764,7
LEÓN,24684,2
LEÓN,24170,2
LEÓN,24390,15
LEÓN,24735,11
LEÓN,24191,58
