ICD9|ICD10|Description
001.0|A00.0|Cholera due to Vibrio cholerae 01, biovar cholerae
001.1|A00.1|Cholera due to Vibrio cholerae 01, biovar eltor
001.9|A00.9|Cholera, unspecified
002.0|A01.00|Typhoid fever, unspecified
002.1|A01.1|Paratyphoid fever A
002.2|A01.2|Paratyphoid fever B
002.3|A01.3|Paratyphoid fever C
002.9|A01.4|Paratyphoid fever, unspecified
003.0|A02.0|Salmonella enteritis
003.1|A02.1|Salmonella sepsis
003.20|A02.20|Localized salmonella infection, unspecified
003.21|A02.21|Salmonella meningitis
003.22|A02.22|Salmonella pneumonia
003.23|A02.23|Salmonella arthritis
003.24|A02.24|Salmonella osteomyelitis
003.29|A02.29|Salmonella with other localized infection
003.8|A02.8|Other specified salmonella infections
003.9|A02.9|Salmonella infection, unspecified
004.0|A03.0|Shigellosis due to Shigella dysenteriae
004.1|A03.1|Shigellosis due to Shigella flexneri
004.2|A03.2|Shigellosis due to Shigella boydii
004.3|A03.3|Shigellosis due to Shigella sonnei
004.8|A03.8|Other shigellosis
004.9|A03.9|Shigellosis, unspecified
005.0|A05.0|Foodborne staphylococcal intoxication
005.1|A05.1|Botulism food poisoning
005.2|A05.2|Foodborne Clostridium perfringens [Clostridium welchii] intoxication
005.3|A05.8|Other specified bacterial foodborne intoxications
005.4|A05.3|Foodborne Vibrio parahaemolyticus intoxication
005.81|A05.5|Foodborne Vibrio vulnificus intoxication
005.89|A05.4|Foodborne Bacillus cereus intoxication
005.89|A05.8|Diagnostico no disponible
005.9|A05.9|Bacterial foodborne intoxication, unspecified
006.0|A06.0|Acute amebic dysentery
006.1|A06.1|Chronic intestinal amebiasis
006.2|A06.2|Amebic nondysenteric colitis
006.3|A06.4|Amebic liver abscess
006.4|A06.5|Amebic lung abscess
006.5|A06.6|Amebic brain abscess
006.6|A06.7|Cutaneous amebiasis
006.8|A06.89|Other amebic infections
006.9|A06.9|Amebiasis, unspecified
007.0|A07.0|Balantidiasis
007.1|A07.1|Giardiasis [lambliasis]
007.2|A07.3|Isosporiasis
007.3|A07.8|Other specified protozoal intestinal diseases
007.4|A07.2|Cryptosporidiosis
007.5|A07.4|Cyclosporiasis
007.8|A07.8|Other specified protozoal intestinal diseases
007.9|A07.9|Protozoal intestinal disease, unspecified
008.00|A04.4|Other intestinal Escherichia coli infections
008.01|A04.0|Enteropathogenic Escherichia coli infection
008.02|A04.1|Enterotoxigenic Escherichia coli infection
008.03|A04.2|Enteroinvasive Escherichia coli infection
008.04|A04.3|Enterohemorrhagic Escherichia coli infection
008.09|A04.4|Other intestinal Escherichia coli infections
008.1|A04.8|Other specified bacterial intestinal infections
008.2|A04.8|Other specified bacterial intestinal infections
008.3|A04.8|Other specified bacterial intestinal infections
008.41|A04.8|Other specified bacterial intestinal infections
008.42|A04.8|Other specified bacterial intestinal infections
008.43|A04.5|Campylobacter enteritis
008.44|A04.6|Enteritis due to Yersinia enterocolitica
008.45|A04.7|Enterocolitis due to Clostridium difficile
008.46|A04.8|Other specified bacterial intestinal infections
008.47|A04.8|Other specified bacterial intestinal infections
008.49|A04.8|Other specified bacterial intestinal infections
008.5|A04.9|Bacterial intestinal infection, unspecified
008.61|A08.0|Rotaviral enteritis
008.62|A08.2|Adenoviral enteritis
008.63|A08.11|Acute gastroenteropathy due to Norwalk agent
008.64|A08.19|Acute gastroenteropathy due to other small round viruses
008.65|A08.31|Calicivirus enteritis
008.66|A08.32|Astrovirus enteritis
008.67|A08.39|Other viral enteritis
008.69|A08.39|Other viral enteritis
008.8|A08.8|Other specified intestinal infections
009.0|A09|Infectious gastroenteritis and colitis, unspecified
009.1|A09|Infectious gastroenteritis and colitis, unspecified
009.2|A09|Infectious gastroenteritis and colitis, unspecified
009.3|A09|Infectious gastroenteritis and colitis, unspecified
010.00|A15.7|Primary respiratory tuberculosis
010.01|A15.7|Primary respiratory tuberculosis
010.02|A15.7|Primary respiratory tuberculosis
010.03|A15.7|Primary respiratory tuberculosis
010.04|A15.7|Primary respiratory tuberculosis
010.05|A15.7|Primary respiratory tuberculosis
010.06|A15.7|Primary respiratory tuberculosis
010.10|A15.6|Tuberculous pleurisy
010.11|A15.6|Tuberculous pleurisy
010.12|A15.6|Tuberculous pleurisy
010.13|A15.6|Tuberculous pleurisy
010.14|A15.6|Tuberculous pleurisy
010.15|A15.6|Tuberculous pleurisy
010.16|A15.6|Tuberculous pleurisy
010.80|A15.7|Primary respiratory tuberculosis
010.81|A15.7|Primary respiratory tuberculosis
010.82|A15.7|Primary respiratory tuberculosis
010.83|A15.7|Primary respiratory tuberculosis
010.84|A15.7|Primary respiratory tuberculosis
010.85|A15.7|Primary respiratory tuberculosis
010.86|A15.7|Primary respiratory tuberculosis
010.90|A15.7|Primary respiratory tuberculosis
010.91|A15.7|Primary respiratory tuberculosis
010.92|A15.7|Primary respiratory tuberculosis
010.93|A15.7|Primary respiratory tuberculosis
010.94|A15.7|Primary respiratory tuberculosis
010.95|A15.7|Primary respiratory tuberculosis
010.96|A15.7|Primary respiratory tuberculosis
011.00|A15.0|Tuberculosis of lung
011.01|A15.0|Tuberculosis of lung
011.02|A15.0|Tuberculosis of lung
011.03|A15.0|Tuberculosis of lung
011.04|A15.0|Tuberculosis of lung
011.05|A15.0|Tuberculosis of lung
011.06|A15.0|Tuberculosis of lung
011.10|A15.0|Tuberculosis of lung
011.11|A15.0|Tuberculosis of lung
011.12|A15.0|Tuberculosis of lung
011.13|A15.0|Tuberculosis of lung
011.14|A15.0|Tuberculosis of lung
011.15|A15.0|Tuberculosis of lung
011.16|A15.0|Tuberculosis of lung
011.20|A15.0|Tuberculosis of lung
011.21|A15.0|Tuberculosis of lung
011.22|A15.0|Tuberculosis of lung
011.23|A15.0|Tuberculosis of lung
011.24|A15.0|Tuberculosis of lung
011.25|A15.0|Tuberculosis of lung
011.26|A15.0|Tuberculosis of lung
011.30|A15.5|Tuberculosis of larynx, trachea and bronchus
011.31|A15.5|Tuberculosis of larynx, trachea and bronchus
011.32|A15.5|Tuberculosis of larynx, trachea and bronchus
011.33|A15.5|Tuberculosis of larynx, trachea and bronchus
011.34|A15.5|Tuberculosis of larynx, trachea and bronchus
011.35|A15.5|Tuberculosis of larynx, trachea and bronchus
011.36|A15.5|Tuberculosis of larynx, trachea and bronchus
011.40|A15.0|Tuberculosis of lung
011.41|A15.0|Tuberculosis of lung
011.42|A15.0|Tuberculosis of lung
011.43|A15.0|Tuberculosis of lung
011.44|A15.0|Tuberculosis of lung
011.45|A15.0|Tuberculosis of lung
011.46|A15.0|Tuberculosis of lung
011.50|A15.0|Tuberculosis of lung
011.51|A15.0|Tuberculosis of lung
011.52|A15.0|Tuberculosis of lung
011.53|A15.0|Tuberculosis of lung
011.54|A15.0|Tuberculosis of lung
011.55|A15.0|Tuberculosis of lung
011.56|A15.0|Tuberculosis of lung
011.60|A15.0|Tuberculosis of lung
011.61|A15.0|Tuberculosis of lung
011.62|A15.0|Tuberculosis of lung
011.63|A15.0|Tuberculosis of lung
011.64|A15.0|Tuberculosis of lung
011.65|A15.0|Tuberculosis of lung
011.66|A15.0|Tuberculosis of lung
011.70|A15.0|Tuberculosis of lung
011.71|A15.0|Tuberculosis of lung
011.72|A15.0|Tuberculosis of lung
011.73|A15.0|Tuberculosis of lung
011.74|A15.0|Tuberculosis of lung
011.75|A15.0|Tuberculosis of lung
011.76|A15.0|Tuberculosis of lung
011.80|A15.0|Tuberculosis of lung
011.81|A15.0|Tuberculosis of lung
011.82|A15.0|Tuberculosis of lung
011.83|A15.0|Tuberculosis of lung
011.84|A15.0|Tuberculosis of lung
011.85|A15.0|Tuberculosis of lung
011.86|A15.0|Tuberculosis of lung
011.90|A15.0|Tuberculosis of lung
011.91|A15.0|Tuberculosis of lung
011.92|A15.0|Tuberculosis of lung
011.93|A15.0|Tuberculosis of lung
011.94|A15.0|Tuberculosis of lung
011.95|A15.0|Tuberculosis of lung
011.96|A15.0|Tuberculosis of lung
012.00|A15.6|Tuberculous pleurisy
012.01|A15.6|Tuberculous pleurisy
012.02|A15.6|Tuberculous pleurisy
012.03|A15.6|Tuberculous pleurisy
012.04|A15.6|Tuberculous pleurisy
012.05|A15.6|Tuberculous pleurisy
012.06|A15.6|Tuberculous pleurisy
012.10|A15.4|Tuberculosis of intrathoracic lymph nodes
012.11|A15.4|Tuberculosis of intrathoracic lymph nodes
012.12|A15.4|Tuberculosis of intrathoracic lymph nodes
012.13|A15.4|Tuberculosis of intrathoracic lymph nodes
012.14|A15.4|Tuberculosis of intrathoracic lymph nodes
012.15|A15.4|Tuberculosis of intrathoracic lymph nodes
012.16|A15.4|Tuberculosis of intrathoracic lymph nodes
012.20|A15.5|Tuberculosis of larynx, trachea and bronchus
012.21|A15.5|Tuberculosis of larynx, trachea and bronchus
012.22|A15.5|Tuberculosis of larynx, trachea and bronchus
012.23|A15.5|Tuberculosis of larynx, trachea and bronchus
012.24|A15.5|Tuberculosis of larynx, trachea and bronchus
012.25|A15.5|Tuberculosis of larynx, trachea and bronchus
012.26|A15.5|Tuberculosis of larynx, trachea and bronchus
012.30|A15.5|Tuberculosis of larynx, trachea and bronchus
012.31|A15.5|Tuberculosis of larynx, trachea and bronchus
012.32|A15.5|Tuberculosis of larynx, trachea and bronchus
012.33|A15.5|Tuberculosis of larynx, trachea and bronchus
012.34|A15.5|Tuberculosis of larynx, trachea and bronchus
