ICD9|ICD10|Description
V41.7|F52.9|Disfunción sexual no especificada no debida a sustancia ni afección fisiológica conocida
V40.39|F69|Trastorno de personalidad y comportamiento del adulto, no especificado
V40.9|F69|Trastorno de personalidad y comportamiento del adulto, no especificado
V40.0|F81.9|Trastorno del desarrollo de habilidades escolares, no especificado
V40.2|F48.9|Trastorno mental no psicótico, no especificado
V41.3|H93.90|Trastorno no especificado del oído, oído no especificado
V41.0|H54.7|Pérdida de visión no especificada
V41.1|H57.9|Trastorno del ojo y sus anexos no especificado
V46.14|J95.850|Complicación mecánica del respirador
V45.4|M96.0|Seudoartrosis después de fusión o artrodesis
V54.20|M84.40XD|Fractura patológica, localización no especificada, contacto sucesivo por fractura con curas rutinarias 
V54.24|M84.40XD|Fractura patológica, localización no especificada, contacto sucesivo por fractura con curas rutinarias 
V54.27|M84.40XD|Fractura patológica, localización no especificada, contacto sucesivo por fractura con curas rutinarias 
V54.21|M84.421D|Fractura patológica, húmero derecho, contacto sucesivo por fractura con curas rutinarias 
V54.22|M84.431D|Fractura patológica, cúbito derecho, contacto sucesivo por fractura con curas rutinarias 
V54.25|M84.453D|Fractura patológica, fémur no especificado, contacto sucesivo por fractura con curas rutinarias 
V54.23|M84.459D|Fractura patológica, cadera no especificada, contacto sucesivo por fractura con curas rutinarias 
V54.26|M84.469D|Fractura patológica, tibia y peroné no especificados, contacto sucesivo por fractura con curas rutinarias 
V54.29|M84.48XD|Fractura patológica, otra localización, contacto sucesivo por fractura con curas rutinarias 
V23.0|O09.00|Supervisión de embarazo con historia de esterilidad, trimestre no especificado
V23.1|O09.10|Supervisión de embarazo con historia de embarazo ectópico, trimestre no especificado
V23.42|O09.10|Supervisión de embarazo con historia de embarazo ectópico, trimestre no especificado
V23.41|O09.211|Supervisión de embarazo con historia de parto prematuro, primer trimestre
V23.2|O09.291|Supervisión de embarazo con otra historia obstétrica o reproductiva deficiente, primer trimestre
V23.49|O09.291|Supervisión de embarazo con otra historia obstétrica o reproductiva deficiente, primer trimestre
V23.5|O09.291|Supervisión de embarazo con otra historia obstétrica o reproductiva deficiente, primer trimestre
V23.7|O09.30|Supervisión de embarazo con atención prenatal insuficiente, trimestre no especificado
V23.3|O09.40|Supervisión de embarazo en gran multípara, trimestre no especificado
V23.81|O09.511|Supervisión de primigrávida añosa, primer trimestre
