source|target
Enteritis debida a Campylobacter|Otros tipos de esquizofrenia
Intoxicación alimentaria bacteriana, no especificada|Otros tipos de esquizofrenia
Gastroenteritis y colitis infecciosas, no especificadas|Esquizofrenia
Gastroenteritis y colitis infecciosas, no especificadas|Otros tipos de esquizofrenia
Gastroenteritis y colitis infecciosas, no especificadas|Trastornos delirantes
Tuberculosis del pulmón|Esquizofrenia
Tuberculosis respiratoria no especificada|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección por micobacterias pulmonares|Otros tipos de esquizofrenia
Otras sepsis estreptocócicas|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enteritis debida a Salmonella|Otros tipos de esquizofrenia
Sepsis debida a Salmonella|Otros tipos de esquizofrenia
Sepsis debida a Staphylococcus aureus resistente a meticilina|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Sepsis debida a otro estafilococo especificado|Otros tipos de esquizofrenia
Sepsis debida a anaerobios|Esquizofrenia
Sepsis por Escherichia coli [E. coli]|Esquizofrenia
Sepsis por Escherichia coli [E. coli]|Trastornos esquizoafectivos
Sepsis por Escherichia coli [E. coli]|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Sepsis por otros gram negativos|Otros tipos de esquizofrenia
Sepsis por otros gram negativos|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Otras sepsis especificadas|Otros tipos de esquizofrenia
Sepsis, microorganismo no especificado|Esquizofrenia
Sepsis, microorganismo no especificado|Otros tipos de esquizofrenia
Sepsis, microorganismo no especificado|Trastornos delirantes
Sepsis, microorganismo no especificado|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Infección por Staphylococcus aureus resistente a meticilina, localización no especificada|Esquizofrenia
Neurosífilis no especificada|Otros tipos de esquizofrenia
Encefalitis herpética|Esquizofrenia
Otro tipo de afectación posherpética del sistema nervioso|Trastornos delirantes
Verruga viral, no especificada|Otros tipos de esquizofrenia
Hepatitis vírica crónica tipo B, sin agente delta|Esquizofrenia
Hepatitis vírica crónica tipo B, sin agente delta|Otros tipos de esquizofrenia
Hepatitis vírica crónica tipo B, sin agente delta|Trastornos esquizoafectivos
Hepatitis vírica crónica tipo C|Esquizofrenia
Hepatitis vírica crónica tipo C|Otros tipos de esquizofrenia
Hepatitis vírica crónica tipo C|Trastornos delirantes
Hepatitis vírica crónica tipo C|Trastorno psicótico breve
Hepatitis vírica crónica tipo C|Trastornos esquizoafectivos
Hepatitis vírica crónica tipo C|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Hepatitis vírica B no especificada, sin coma hepático|Trastornos delirantes
Hepatitis vírica C no especificada, sin coma hepático|Esquizofrenia
Hepatitis vírica C no especificada, sin coma hepático|Trastornos esquizoafectivos
Hepatitis vírica C no especificada, sin coma hepático|Psicosis no especificada no debida a sustancia o afección fisiológica conocidas
Enfermedad por virus de la inmunodeficiencia humana [VIH]|Esquizofrenia
Enfermedad por virus de la inmunodeficiencia humana [VIH]|Trastornos esquizoafectivos
Otras enfermedades por citomegalovirus|Esquizofrenia
Otras conjuntivitis virales|Otros tipos de esquizofrenia
Tiña de las uñas|Trastornos delirantes
Pitiriasis versicolor|Otros tipos de esquizofrenia
Estomatitis candidiásica|Otros tipos de esquizofrenia
